Trace,Search,Level,State,Event St.,Event end,Amplitud,Amp. SD,Dwell Time,Inst. Freq,Interval
1,1,1,A,13.14,14.19,3.003112,0.231526,1.05,N/A,Not found
1,1,0,A,14.19,15.03,-0.030722,0.14059,0.84,N/A,Not found
1,1,1,A,15.03,15.39,2.871826,0.193226,0.36,529.100525,1.89
1,1,0,AB,15.39,15.45,1.62442,0,0.06,833.333313,1.2
1,1,1,A,15.45,17.370001,2.827484,0.345783,1.92,2380.952393,0.42
1,1,0,A,17.370001,17.610001,0.095184,0.087792,0.24,505.050507,1.98
1,1,1,A,17.610001,21.51,2.856229,0.296008,3.9,462.962952,2.16
1,1,0,A,21.51,23.16,-0.048442,0.185627,1.65,241.545898,4.14
1,1,1,A,23.16,24.48,3.042552,0.225717,1.32,180.180176,5.55
1,1,0,A,24.48,26.129999,0.014552,0.180843,1.65,336.700348,2.97
1,1,1,A,26.129999,28.860001,2.895776,0.280045,2.73,336.700348,2.97
1,1,0,A,28.860001,29.040001,0.246433,0.01079,0.18,228.310501,4.38
1,1,1,A,29.040001,30.059999,2.721761,0.36685,1.02,343.642609,2.91
1,1,0,AB,30.059999,30.15,0.88796,0,0.09,833.333313,1.2
1,1,1,AB,30.15,30.24,1.543477,0,0.09,900.900879,1.11
1,1,0,A,30.24,30.389999,0.018209,0,0.15,5555.555664,0.18
1,1,1,A,30.389999,32.369999,2.872604,0.245571,1.98,4166.666504,0.24
1,1,0,A,32.369999,32.73,0.20809,0.084341,0.36,469.483582,2.13
1,1,1,A,32.73,38.040001,2.996853,0.345621,5.31,427.350433,2.34
1,1,0,A,38.040001,38.639999,0.158824,0.431093,0.6,176.366837,5.67
1,1,1,A,38.639999,42.57,3.031219,0.266545,3.93,169.204742,5.91
1,1,0,AB,42.57,42.66,0.933465,0,0.09,220.750549,4.53
1,1,1,A,42.66,46.950001,3.211608,0.384202,4.29,248.756226,4.02
1,1,0,A,46.950001,49.380001,-0.007674,0.188393,2.43,228.310501,4.38
1,1,1,A,49.380001,51.630001,2.893297,0.2781,2.25,148.809525,6.72
1,1,0,A,51.630001,52.139999,-0.090694,0.090269,0.51,213.675217,4.68
1,1,1,A,52.139999,53.369999,2.784663,0.26368,1.23,362.318848,2.76
1,1,0,A,53.369999,58.110001,0.06786,0.298853,4.74,574.712646,1.74
1,1,1,A,58.110001,59.16,2.740953,0.243324,1.05,167.504181,5.97
1,1,0,AB,59.16,59.220001,1.136358,0,0.06,172.711578,5.79
1,1,1,A,59.220001,62.939999,2.864635,0.312339,3.72,900.900879,1.11
1,1,0,AB,62.939999,63,0.939825,0,0.06,264.550262,3.78
1,1,1,AB,63,63.09,1.719244,0,0.09,264.550262,3.78
1,1,0,A,63.09,64.410004,-0.048517,0.253722,1.32,6666.666504,0.15
1,1,1,A,64.410004,77.760002,2.948054,0.303132,13.35,709.219849,1.41
1,1,0,A,77.760002,78.449997,0.015286,0.165747,0.69,68.166328,14.67
