,,,,start,end,ampl. [pA],,dwell time [ms],freq.,interevent interval,,,,N1,,tau1,,N2,,tau2,,N3,,tau3,,N4,,tau4,,,Burst analysis,ev./burst,start,end,duration [ms],mean intraburst interval [ms],,frequency [Hz],,open duration mean [ms],,openings,closures,,,,,,,,,,,,,,,,,
1,1,1,A,457.75,459.200012,2.53827,0.212238,1.45,N/A,Not found,,closures,> 0.1 ms,1095.227417,71.601028,0.237249,0.094525,732.680603,121.68914,1.602019,0.235734,440.842133,124.399574,7.035506,0.373042,74.221222,66.00843,51.097321,1.111002,0.849593,2.1425,2,457.75,461.75,4,3.3,0,303.030273,0,1.075,1.695214,2.15,3.3,closures,,,,,,,,,,,,,,,,
1,1,0,A,459.200012,461.049988,0.014041,0.201344,1.85,N/A,Not found,,openings,,1170.191528,977.173828,0.975212,0.321766,827.140198,978.110962,1.957388,0.451718,,,,,,,,,0.896619,,1,465.450012,466.550018,1.1,0,0,0,0,1.1,0,1.1,0,12746.11583,,,,,,,,,,,,,,,,
1,1,1,A,461.049988,461.75,2.196927,0.107635,0.7,303.030304,3.3,,,,,,,,,,,,,,,,,,,,,,2,469,470.25,1.25,0.6,0,1666.665649,0,0.575,0.826892,1.15,0.6,,,,,,,,,,,,,,,,,
1,1,0,A,461.75,465.450012,0.28426,0.282034,3.7,392.15686,2.55,,t critical,2.1425,,,,,,,,,,,,,,,,,,,2,473.299988,474.449982,1.150001,0.650001,0,1538.460205,0,0.325,0.577711,0.65,0.650001,openings,,,,,,,,,,,,,,,,
1,1,1,A,465.450012,466.549988,2.09521,0.200046,1.1,227.27272,4.4,,mean open time in burst,,702.118591,32.092457,1.331075,0.064822,,,,,,,,,,,,,0.781496,,2,484.450012,488.650024,4.199999,2.199999,0,454.545685,0,2.025,2.864219,4.05,2.199999,14284.42152,,,,,,,,,,,,,,,,
1,1,0,A,466.549988,469,-0.033154,0.137965,2.45,208.333328,4.8,,burst duration,,99.672913,19.330423,0.267388,0.291416,550.02179,18.228514,5.556232,0.047836,,,,,,,,,0.84229,,1,491.25,491.75,0.5,0,0,0,0,0.5,0,0.5,0,,,,,,,,,,,,,,,,,
1,1,1,A,469,469.5,1.654724,0.130759,0.5,281.690155,3.55,,,,,,,,,,,,,,,,,,,,,,1,502.25,503.149994,0.9,0,0,0,0,0.9,0,0.9,0,all,,,,,,,,,,,,,,,,
1,1,0,AB,469.5,469.600006,1.177633,0,0.1,338.983063,2.95,,,,,,,,,,,,,,,,,,,,,,1,505.600006,505.950012,0.35,0,0,0,0,0.35,0,0.35,0,27030.53735,,,,,,,,,,,,,,,,
1,1,1,A,469.600006,470.25,1.869364,0.247023,0.65,1666.666626,0.6,,,,,,,,,,,,,,,,,,,,,,1,510.549988,510.799988,0.25,0,0,0,0,0.25,0,0.25,0,,,,,,,,,,,,,,,,,
1,1,0,AB,470.25,470.350006,0.951803,0,0.1,1333.333374,0.75,,,,,,,,,,,,,,,,,,,,,,4,524.549988,535.549988,11.00001,3.383336,12.082104,774.124329,3076.666016,2.0375,12.788073,8.15,10.150008,0.52845496,,,,,,,,,,,,,,,,
1,1,0,A,480.950012,483.899994,-0.148135,0.224195,2.95,160,6.25,,,,,,,,,,,,,,,,,,,,,,3,538.100037,543.000061,4.900002,1.825001,2.638892,560.675415,810.718445,1.416667,4.083758,4.250001,3.650002,,,,,,,,,,,,,,,,,
1,1,1,AB,483.899994,484.049988,1.733389,0,0.15,307.692322,3.25,,,,,,,,,,,,,,,,,,,,,,1,548.950012,549.350037,0.4,0,0,0,0,0.4,0,0.4,0,,,,,,,,,,,,,,,,,
1,1,0,A,484.049988,484.549988,0.282787,0.257816,0.5,322.580658,3.1,,,,,,,,,,,,,,,,,,,,,,1,558.25,558.599976,0.35,0,0,0,0,0.35,0,0.35,0,,,,,,,,,,,,,,,,,
1,1,1,A,484.549988,485.049988,2.116995,0.181693,0.5,1538.461548,0.65,,,,,,,,,,,,,,,,,,,,,,6,567.950012,577.950012,9.99999,1.739998,10.050639,794.154358,4352.378906,1.141667,8.825583,6.850002,8.69999,,,,,,,,,,,,,,,,,
1,1,0,A,485.049988,495.049988,0.000473,0.20769,10,1000,1,,,,,,,,,,,,,,,,,,,,,,1,582.450012,583,0.55,0,0,0,0,0.55,0,0.55,0,,,,,,,,,,,,,,,,,
1,1,1,A,495.049988,497.100006,2.228677,0.354131,2.05,95.238098,10.5,,,,,,,,,,,,,,,,,,,,,,1,603.100037,603.300049,0.2,0,0,0,0,0.2,0,0.2,0,,,,,,,,,,,,,,,,,
1,1,0,AB,497.100006,497.25,0.526291,0,0.15,82.987549,12.05,,,,,,,,,,,,,,,,,,,,,,5,616.850037,625.800049,8.950003,1.262501,5.57897,1200.845947,5619.378906,1.15,8.985231,5.75,5.050004,,,,,,,,,,,,,,,,,
1,1,1,A,497.25,499.25,2.127447,0.39383,2,454.545441,2.2,,,,,,,,,,,,,,,,,,,,,,1,628.100037,628.750061,0.65,0,0,0,0,0.65,0,0.65,0,,,,,,,,,,,,,,,,,
1,1,0,A,499.25,500.299988,0.033702,0.242108,1.05,465.116272,2.15,,,,,,,,,,,,,,,,,,,,,,2,632.100037,636.250061,4.150003,3.300003,0,303.030029,0,2.025,3.704558,4.05,3.300003,,,,,,,,,,,,,,,,,
1,1,0,A,514.950012,516.5,-0.138499,0.194349,1.55,137.93103,7.25,,,,,,,,,,,,,,,,,,,,,,2,640.900024,650.600037,9.699994,1.399994,0,714.288818,0,4.275,10.06746,8.55,1.399994,,,,,,,,,,,,,,,,,
1,1,1,A,516.5,517,2.191567,0.162285,0.5,208.333328,4.8,,,,,,,,,,,,,,,,,,,,,,3,657.650024,665.300049,7.650003,3.650002,8.144634,1073.529419,2395.479492,1.833333,8.050673,5.499999,7.300004,,,,,,,,,,,,,,,,,
1,1,0,A,517,523.099976,0.11751,0.27883,6.1,487.804871,2.05,,,,,,,,,,,,,,,,,,,,,,9,671.550049,695.650085,24.10001,2.612501,28.081331,785.783142,7546.285156,1.933333,26.823217,17.399997,20.900008,,,,,,,,,,,,,,,,,
1,1,0,A,526.650024,531.049988,0.198546,0.253832,4.4,103.626945,9.65,,,,,,,,,,,,,,,,,,,,,,2,713.900024,715.200012,1.300006,0.600006,0,1666.649658,0,0.6,0.87178,1.2,0.600006,,,,,,,,,,,,,,,,,
1,1,1,A,531.049988,531.950012,1.927926,0.439498,0.9,219.780212,4.55,,,,,,,,,,,,,,,,,,,,,,2,717.350037,721.450073,4.100012,3.700012,0,270.269379,0,1.5,3.056141,3,3.700012,,,,,,,,,,,,,,,,,
1,1,0,A,531.950012,533,-0.043304,0.238362,1.05,188.679245,5.3,,,,,,,,,,,,,,,,,,,,,,1,724.450073,724.600098,0.15,0,0,0,0,0.15,0,0.15,0,,,,,,,,,,,,,,,,,
1,1,0,A,565.799988,567.200012,-0.015742,0.226475,1.4,1538.461548,0.65,,,,,,,,,,,,,,,,,,,,,,1,727.600037,728.700012,1.1,0,0,0,0,1.1,0,1.1,0,,,,,,,,,,,,,,,,,
1,1,1,A,567.200012,567.549988,2.498821,0.116501,0.35,588.235291,1.7,,,,,,,,,,,,,,,,,,,,,,1,731.650024,737.350037,5.7,0,0,0,0,5.7,0,5.7,0,,,,,,,,,,,,,,,,,
1,1,0,A,567.549988,570.450012,-0.049736,0.24964,2.9,571.428589,1.75,,,,,,,,,,,,,,,,,,,,,,1,747.150024,747.950012,0.8,0,0,0,0,0.8,0,0.8,0,,,,,,,,,,,,,,,,,
1,1,0,A,600.25,601.950012,-0.136917,0.250633,1.7,312.5,3.2,,,,,,,,,,,,,,,,,,,,,,5,755.050049,766.700012,11.649976,2.587494,10.956384,595.271667,2987.198486,1.78,10.179121,8.9,10.349976,,,,,,,,,,,,,,,,,
1,1,1,A,601.950012,602.200012,1.925543,0,0.25,434.782623,2.3,,,,,,,,,,,,,,,,,,,,,,2,770.050049,772.350037,2.299976,0.599976,0,1666.734497,0,1,1.989975,2,0.599976,,,,,,,,,,,,,,,,,
1,1,0,A,602.200012,615.950012,-0.203498,0.324685,13.75,512.820496,1.95,,,,,,,,,,,,,,,,,,,,,,1,775.800049,776.150024,0.35,0,0,0,0,0.35,0,0.35,0,,,,,,,,,,,,,,,,,
1,1,1,A,615.950012,616.700012,2.253602,0.198886,0.75,71.428574,14,,,,,,,,,,,,,,,,,,,,,,2,788.550049,789.750061,1.200012,0.450012,0,2222.161865,0,0.55,0.874643,1.1,0.450012,,,,,,,,,,,,,,,,,
1,1,0,A,616.700012,618.75,0.19733,0.4019,2.05,68.965515,14.5,,,,,,,,,,,,,,,,,,,,,,5,794.900024,809.050049,14.150037,2.650009,12.192487,500.325226,2074.45752,1.9,13.291445,9.5,10.600036,,,,,,,,,,,,,,,,,
1,1,1,AB,618.75,618.900024,1.519013,0,0.15,357.142853,2.8,,,,,,,,,,,,,,,,,,,,,,3,815.450073,821.950073,6.499976,3.049988,5.370748,452.358978,796.562439,1.283333,5.137809,3.849999,6.099976,,,,,,,,,,,,,,,,,
